epoch,step,train_acc,train_f1,train_loss,train_perplexity,train_precision,train_recall,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,0.48784229159355164,0.05743876099586487,0.4317958652973175,1.5400207042694092,0.03137676790356636,0.5455482006072998
0,8,0.3086526393890381,0.06299947947263718,0.5665786266326904,1.7784218788146973,0.03415552154183388,0.6568319797515869,,,,,,
1,17,,,,,,,0.5025291442871094,0.060855183750391006,0.4118761718273163,1.5096474885940552,0.033103201538324356,0.5674459934234619
1,17,0.4997588098049164,0.06349806487560272,0.4453830420970917,1.5612248182296753,0.034579433500766754,0.5347222089767456,,,,,,
2,26,,,,,,,0.5317127108573914,0.06451056152582169,0.3991956114768982,1.4906251430511475,0.03551231697201729,0.5617799162864685
2,26,0.5155376195907593,0.06905373185873032,0.42325714230537415,1.5270930528640747,0.03761248663067818,0.5600283145904541,,,,,,
3,35,,,,,,,0.5535845756530762,0.07105304300785065,0.3738101124763489,1.453261137008667,0.03900627791881561,0.5962726473808289
3,35,0.5516722202301025,0.07414251565933228,0.39570388197898865,1.485620379447937,0.040586404502391815,0.5646538138389587,,,,,,
4,44,,,,,,,0.581250011920929,0.07492697983980179,0.35698387026786804,1.4290127754211426,0.04175051674246788,0.591195285320282
4,44,0.5727710723876953,0.08288668096065521,0.3728409707546234,1.4520339965820312,0.04578588902950287,0.5963054895401001,,,,,,
5,53,,,,,,,0.6223060488700867,0.0869554653763771,0.33708706498146057,1.4008610248565674,0.04975016415119171,0.6073347330093384
5,53,0.5979891419410706,0.08911871165037155,0.3563500940799713,1.4282450675964355,0.05000889673829079,0.6087155938148499,,,,,,
6,62,,,,,,,0.6391575932502747,0.09019589424133301,0.3259093463420868,1.3852897882461548,0.05146530270576477,0.6007068157196045
6,62,0.6221192479133606,0.09742914140224457,0.3417436480522156,1.407739281654358,0.05557828024029732,0.6244884133338928,,,,,,
7,71,,,,,,,0.6772819757461548,0.11051952093839645,0.30951347947120667,1.3627619743347168,0.06538958102464676,0.633121132850647
7,71,0.6474946737289429,0.10597942769527435,0.3260958790779114,1.3857008218765259,0.060499172657728195,0.6293303966522217,,,,,,
8,80,,,,,,,0.6719130277633667,0.1134834960103035,0.2976439893245697,1.3466823101043701,0.06730666756629944,0.642113983631134
8,80,0.6635238528251648,0.11321239918470383,0.3113197982311249,1.3653205633163452,0.06422761082649231,0.6538206934928894,,,,,,
9,89,,,,,,,0.6886504888534546,0.11971297115087509,0.2905334234237671,1.3371405601501465,0.06719788163900375,0.6872889995574951
9,89,0.6768410205841064,0.11915109306573868,0.2967977821826935,1.3456095457077026,0.06739135086536407,0.6724746823310852,,,,,,
